[2025-06-04 06:04:13] [INFO    ] discord.client: logging in using static token
[2025-06-04 06:04:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Black Box', 'primary_guild': None, 'mfa_enabled': False, 'id': '1379645937064087563', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6551', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '00a4a5444e06fdb395f3460890df71b0', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1190489702269206671'}, {'unavailable': True, 'id': '1212210181044183171'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'us-south', 'atlanta', 'us-east', 'newark'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1379645937064087563', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-t0wn",{"micros":165572,"calls":["id_created",{"micros":396,"calls":[]},"session_lookup_time",{"micros":3275,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-108",{"micros":160998,"calls":["start_session",{"micros":93035,"calls":["discord-api-rpc-6758469868-44gsx",{"micros":59207,"calls":["get_user",{"micros":14350},"get_guilds",{"micros":5530},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":850},"authorized_ip_coro",{"micros":17},"pending_payments",{"micros":1791},"apex_user_experiments",{"micros":6},"user_activities",{"micros":10},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":37,"calls":[]},"presence_started",{"micros":19307,"calls":[]},"guilds_started",{"micros":128,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":48467,"calls":[]},"connect_finished",{"micros":48471,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:14] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 00a4a5444e06fdb395f3460890df71b0).
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-04 06:04:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'incidents_data': None, 'icon': None, 'moderator_reporting': None, 'members': [{'user': {'username': 'Black Box', 'public_flags': 0, 'primary_guild': None, 'id': '1379645937064087563', 'global_name': None, 'display_name': None, 'discriminator': '6551', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1379659938179055709'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T03:16:02.151000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'unavailable': False, 'system_channel_flags': 0, 'profile': None, 'presences': [], 'joined_at': '2025-06-04T03:16:02.151000+00:00', 'default_message_notifications': 0, 'verification_level': 0, 'home_header': None, 'afk_channel_id': None, 'activity_instances': [], 'lazy': True, 'application_command_counts': {}, 'max_stage_video_channel_users': 50, 'channels': [{'version': 1703905263290, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1190489702269206672', 'flags': 0}, {'version': 1703905263294, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1190489702269206673', 'flags': 0}, {'version': 1703905263302, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1190489702269206672', 'name': 'general', 'last_message_id': '1379659938892218439', 'id': '1190489702269206674', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1703905263310, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1190489702269206673', 'name': 'General', 'last_message_id': None, 'id': '1190489702269206675', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'splash': None, 'id': '1190489702269206671', 'public_updates_channel_id': None, 'name': "Infamous Gr's server", 'explicit_content_filter': 0, 'voice_states': [], 'afk_timeout': 300, 'roles': [{'version': 1703905263287, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1190489702269206671', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749006962128, 'unicode_emoji': None, 'tags': {'bot_id': '1379645937064087563'}, 'position': 1, 'permissions': '8', 'name': 'Black Box', 'mentionable': False, 'managed': True, 'id': '1379659938179055709', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'threads': [], 'max_members': 500000, 'system_channel_id': '1190489702269206674', 'soundboard_sounds': [], 'premium_features': None, 'guild_scheduled_events': [], 'description': None, 'application_id': None, 'emojis': [], 'banner': None, 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'max_video_channel_users': 25, 'stickers': [], 'owner_id': '1168282467162136656', 'safety_alerts_channel_id': None, 'large': False, 'discovery_splash': None, 'inventory_settings': None, 'latest_onboarding_question_id': None, 'mfa_level': 0, 'nsfw': False, 'premium_subscription_count': 0, 'premium_tier': 0, 'hub_type': None, 'rules_channel_id': None, 'vanity_url_code': None, 'member_count': 2, 'stage_instances': [], 'features': [], 'version': 1703905263316, 'region': 'deprecated', 'nsfw_level': 0}}
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 3, 'op': 0, 'd': {'incidents_data': None, 'icon': None, 'moderator_reporting': None, 'members': [{'user': {'username': 'Black Box', 'public_flags': 0, 'primary_guild': None, 'id': '1379645937064087563', 'global_name': None, 'display_name': None, 'discriminator': '6551', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1212455526143758406', '1379660058799116391'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T03:16:30.890000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'unavailable': False, 'system_channel_flags': 0, 'profile': None, 'presences': [], 'joined_at': '2025-06-04T03:16:30.890000+00:00', 'default_message_notifications': 0, 'verification_level': 0, 'home_header': None, 'afk_channel_id': None, 'activity_instances': [], 'lazy': True, 'application_command_counts': {}, 'max_stage_video_channel_users': 50, 'channels': [{'version': 1749033099430, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': None, 'name': 'Text Channels', 'id': '1212210181505814638', 'flags': 0}, {'version': 1749033099581, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': None, 'name': 'Voice Channels', 'id': '1212210181505814639', 'flags': 0}, {'version': 1749033099728, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'general', 'last_message_id': '1379777442855784524', 'id': '1212210181505814640', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'voice_background_display': None, 'version': 1749033099873, 'user_limit': 0, 'type': 2, 'theme_color': None, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814639', 'nsfw': False, 'name': 'General', 'last_message_id': None, 'id': '1212210181505814641', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1749033100031, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'roles', 'last_message_id': '1379775631029702707', 'id': '1217441097794584658', 'flags': 0}, {'version': 1749033100222, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1212210181044183171', 'deny': '409717129541457', 'allow': '2048'}, {'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814639', 'nsfw': False, 'name': 'Talk', 'last_message_id': None, 'id': '1219324733481422968', 'flags': 0, 'bitrate': 64000}, {'version': 1749033100445, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1212210181044183171', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1220027987668369449', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'bot', 'last_message_id': None, 'id': '1220029164397002884', 'flags': 0}, {'version': 1749033100621, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'general', 'last_message_id': '1379773223817711647', 'id': '1220029346375536793', 'flags': 0}, {'version': 1749033100824, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814639', 'nsfw': False, 'name': 'music-the-opera', 'last_message_id': None, 'id': '1220031346966266010', 'flags': 0, 'bitrate': 64000}, {'version': 1749033100991, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'serv', 'last_message_id': '1379775632166227988', 'id': '1379665069612339200', 'flags': 0}, {'version': 1749033101145, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'staff-logs', 'last_message_id': '1379777444776771685', 'id': '1379667200759173192', 'flags': 0}, {'version': 1749033101324, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '1379769565055025212', 'deny': '2099200', 'allow': '0'}], 'parent_id': '1212210181505814638', 'nsfw': False, 'name': 'staff-applications', 'last_message_id': '1379769515818352661', 'id': '1379685889520963624', 'flags': 0}], 'splash': None, 'id': '1212210181044183171', 'public_updates_channel_id': None, 'name': 'Fun Server', 'explicit_content_filter': 0, 'voice_states': [], 'afk_timeout': 300, 'roles': [{'version': 1709083829041, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1212210181044183171', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200184, 'unicode_emoji': None, 'tags': {}, 'position': 10, 'permissions': '420009146318847', 'name': 'Admin', 'mentionable': True, 'managed': False, 'id': '1212210823922061322', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1749030200191, 'unicode_emoji': None, 'tags': {}, 'position': 11, 'permissions': '8', 'name': 'Owner', 'mentionable': False, 'managed': False, 'id': '1212455526143758406', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1749030200175, 'unicode_emoji': None, 'tags': {}, 'position': 8, 'permissions': '3073', 'name': 'POWER!!!!!!!!!!!!!!!!!!!', 'mentionable': False, 'managed': False, 'id': '1212500005542432830', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 11342935}, 'color': 11342935}, {'version': 1749030200178, 'unicode_emoji': None, 'tags': {}, 'position': 9, 'permissions': '1649337696263', 'name': 'Judge', 'mentionable': False, 'managed': False, 'id': '1219326967170728006', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200169, 'unicode_emoji': None, 'tags': {}, 'position': 7, 'permissions': '295781276849206', 'name': 'Moderator', 'mentionable': False, 'managed': False, 'id': '1220027987668369449', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 5533306}, 'color': 5533306}, {'version': 1749030200157, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '0', 'name': 'Music man', 'mentionable': False, 'managed': False, 'id': '1220031049082470472', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}, {'version': 1749030200152, 'unicode_emoji': None, 'tags': {'bot_id': '1073202323419054080'}, 'position': 4, 'permissions': '1376251103', 'name': 'TOBYN', 'mentionable': False, 'managed': True, 'id': '1220091820323639470', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200146, 'unicode_emoji': None, 'tags': {'bot_id': '592555124572815418'}, 'position': 3, 'permissions': '414501432385', 'name': 'Sasha', 'mentionable': False, 'managed': True, 'id': '1224800656637034600', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200139, 'unicode_emoji': None, 'tags': {'bot_id': '1379645937064087563'}, 'position': 2, 'permissions': '8', 'name': 'Black Box', 'mentionable': False, 'managed': True, 'id': '1379660058799116391', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200198, 'unicode_emoji': None, 'tags': {}, 'position': 12, 'permissions': '0', 'name': 'Founder', 'mentionable': False, 'managed': False, 'id': '1379663732140933271', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030195252, 'unicode_emoji': None, 'tags': {'bot_id': '235148962103951360'}, 'position': 1, 'permissions': '573242775563510', 'name': 'carl-bot', 'mentionable': False, 'managed': True, 'id': '1379672219638042688', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749030200163, 'unicode_emoji': None, 'tags': {}, 'position': 6, 'permissions': '8', 'name': 'Trial Moderator', 'mentionable': False, 'managed': False, 'id': '1379687525576212572', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1749033099192, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Muted', 'mentionable': False, 'managed': False, 'id': '1379769565055025212', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'threads': [], 'max_members': 500000, 'system_channel_id': '1212210181505814640', 'soundboard_sounds': [], 'premium_features': None, 'guild_scheduled_events': [], 'description': None, 'application_id': None, 'emojis': [], 'banner': None, 'embedded_activities': [], 'premium_progress_bar_enabled': False, 'max_video_channel_users': 25, 'stickers': [], 'owner_id': '1168282467162136656', 'safety_alerts_channel_id': None, 'large': False, 'discovery_splash': None, 'inventory_settings': None, 'latest_onboarding_question_id': None, 'mfa_level': 0, 'nsfw': False, 'premium_subscription_count': 0, 'premium_tier': 0, 'hub_type': None, 'rules_channel_id': None, 'vanity_url_code': None, 'member_count': 6, 'stage_instances': [], 'features': [], 'version': 1749007862590, 'region': 'deprecated', 'nsfw_level': 0}}
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 4, 'op': 0, 'd': {'nonce': 'e2ab4a8843eba250e37c36bac78756ba', 'members': [{'user': {'username': 'infamousgr_95424', 'public_flags': 0, 'primary_guild': None, 'id': '1168282467162136656', 'global_name': 'Captain Viktor Vodkanov', 'display_name': 'Captain Viktor Vodkanov', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3d12f5ed7e87ffb6ac0e6e3fb3f09f82'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-12-30T03:01:03.261000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Black Box', 'public_flags': 0, 'primary_guild': None, 'id': '1379645937064087563', 'global_name': None, 'display_name': None, 'discriminator': '6551', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1379659938179055709'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T03:16:02.151000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1190489702269206671', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:14] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1190489702269206671.
[2025-06-04 06:04:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 5, 'op': 0, 'd': {'nonce': '9bc1ee8734ffb4d5489b8366fc35a110', 'members': [{'user': {'username': 'Carl-bot', 'public_flags': 65536, 'primary_guild': None, 'id': '235148962103951360', 'global_name': None, 'display_name': None, 'discriminator': '1536', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ed3dac3b6e7a851df781632a4295fcb9'}, 'roles': ['1379672219638042688'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T04:04:50.324945+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Sasha', 'public_flags': 65536, 'primary_guild': None, 'id': '592555124572815418', 'global_name': None, 'display_name': None, 'discriminator': '0680', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '4630f55f50419396ae43dd6c0660e485'}, 'roles': ['1224800656637034600', '1212210823922061322', '1212455526143758406'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-04-02T19:20:32.273000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'TOBYN', 'public_flags': 65536, 'primary_guild': None, 'id': '1073202323419054080', 'global_name': None, 'display_name': None, 'discriminator': '2211', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '622462a32c8f3f8ae0db0051aef9429e'}, 'roles': ['1220091820323639470'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-03-20T19:29:18.234000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'infamousgr_95424', 'public_flags': 0, 'primary_guild': None, 'id': '1168282467162136656', 'global_name': 'Captain Viktor Vodkanov', 'display_name': 'Captain Viktor Vodkanov', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3d12f5ed7e87ffb6ac0e6e3fb3f09f82'}, 'roles': ['1212455526143758406', '1212210823922061322', '1219326967170728006', '1379663732140933271'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-28T01:30:28.983000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'stan425', 'public_flags': 0, 'primary_guild': None, 'id': '1212790116838412341', 'global_name': '123456', 'display_name': '123456', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1379687525576212572'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T10:21:37.163000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Black Box', 'public_flags': 0, 'primary_guild': None, 'id': '1379645937064087563', 'global_name': None, 'display_name': None, 'discriminator': '6551', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1212455526143758406', '1379660058799116391'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-04T03:16:30.890000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1212210181044183171', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-04 06:04:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:14] [DEBUG   ] discord.state: Processed a chunk for 6 members in guild ID 1212210181044183171.
[2025-06-04 06:04:16] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-04 06:04:16] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-04 06:04:16] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-04 06:04:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1168282467162136656', 'timestamp': 1749035080, 'member': {'user': {'username': 'infamousgr_95424', 'public_flags': 0, 'primary_guild': None, 'id': '1168282467162136656', 'global_name': 'Captain Viktor Vodkanov', 'display_name': 'Captain Viktor Vodkanov', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3d12f5ed7e87ffb6ac0e6e3fb3f09f82'}, 'roles': ['1212455526143758406', '1212210823922061322', '1219326967170728006', '1379663732140933271'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-28T01:30:28.983000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1212210181505814640', 'guild_id': '1212210181044183171'}}
[2025-06-04 06:04:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-04 06:04:40] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-04 06:04:40] [DEBUG   ] discord.client: Dispatching event raw_typing
